;;1;;2;;3;;4;;5;;6;;7;;8;;9;;10
A00;Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit:;g3;e5;Nf3;e4;Ng1;Nf6;b4;;;;;;;;;;;;
A00;Hungarian Opening: Reversed Norwegian Defense:;g3;e5;Nf3;e4;Nh4;;;;;;;;;;;;;;
A00;Hungarian Opening: Paris Gambit:;g3;e5;Nh3;d5;f4;Bxh3;exf4;O-O;;;;;;;;;;;
A00;Hungarian Opening: Dutch Defense:;g3;f5;;;;;;;;;;;;;;;;;
A00;Hungarian Opening: Pacman Gambit:;g3;f5;e4;fxe4;Qh5+;g6;;;;;;;;;;;;;
A00;Hungarian Opening: Myers Defense:;g3;g5;;;;;;;;;;;;;;;;;
A00;Hungarian Opening: Symmetrical Variation:;g3;g6;;;;;;;;;;;;;;;;;
A00;Hungarian Opening: Lasker Simul Special:;g3;h5;;;;;;;;;;;;;;;;;
A00;Hungarian Opening: Van Kuijk Gambit:;g3;h5;Nf3;h4;;;;;;;;;;;;;;;
A00;Hungarian Opening: Asten Gambit:;g3;h5;Nf3;h4;;;;;;;;;;;;;;;
A00;Hungarian Opening: Indian Defense:;g3;Nf6;;;;;;;;;;;;;;;;;
A00;Grob Opening:;g4;;;;;;;;;;;;;;;;;;
A00;Grob Opening: Grob Gambit:;g4;d5;Bg2;;;;;;;;;;;;;;;;
A00;Grob Opening: Grob Gambit: Fritz Gambit:;g4;d5;Bg2;Bxg4;c4;;;;;;;;;;;;;;
A00;Grob Opening: Romford Countergambit:;g4;d5;Bg2;Bxg4;c4;d4;;;;;;;;;;;;;
A00;Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit:;g4;d5;Bg2;Bxg4;c4;d4;Bxb7;Nd7;Bxa8;Qxa8;;;;;;;;;
A00;Grob Opening: Grob Gambit Declined:;g4;d5;Bg2;c6;;;;;;;;;;;;;;;
A00;Grob Opening: Grob Gambit, Richter-Grob Gambit:;g4;d5;Bg2;c6;c4;dxc4;b3;;;;;;;;;;;;
A00;Grob Opening: Spike Attack:;g4;d5;Bg2;c6;g5;;;;;;;;;;;;;;
A00;Grob Opening: Grob Gambit, Keres Gambit:;g4;d5;Bg2;e5;d4;exd4;c3;;;;;;;;;;;;
A00;Grob Opening: Grob Gambit, Basman Gambit:;g4;d5;Bg2;h5;gxh5;;;;;;;;;;;;;;
A00;Grob Opening: Zilbermints Gambit:;g4;d5;e4;dxe4;Nc3;;;;;;;;;;;;;;
A00;Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit:;g4;d5;e4;dxe4;Nc3;e5;d3;;;;;;;;;;;;
A00;Grob Opening: Zilbermints Gambit, Sckiller Defense:;g4;d5;e4;dxe4;Nc3;h5;;;;;;;;;;;;;
A00;Grob Opening: Keene Defense:;g4;d5;h3;e5;Bg2;c6;;;;;;;;;;;;;
A00;Grob Opening: Keene Degense, Main Line:;g4;d5;h3;e5;Bg2;c6;d4;e4;c4;Bd6;Nc6;Ne7;;;;;;;
A00;Grob Opening: Spike , Hurst Attack:;g4;e5;Bg2;d5;c4;;;;;;;;;;;;;;
A00;Grob Opening: London Defense:;g4;e5;h3;Nc6;;;;;;;;;;;;;;;
A00;Grob Opening: Alessi Gambit:;g4;f5;;;;;;;;;;;;;;;;;
A00;Grob Opening: Double Grob:;g4;g5;;;;;;;;;;;;;;;;;
A00;Grob Opening: Double Grob, Coca-Cola Gambit:;g4;g5;f4;;;;;;;;;;;;;;;;
A00;Clemenz Opening:;h3;;;;;;;;;;;;;;;;;;
A00;Creepy Crawly Formation: Classical Defense:;h3;d5;a3;e5;;;;;;;;;;;;;;;
A00;Global Opening:;h3;e5;a3;;;;;;;;;;;;;;;;
A00;Clemenz Opening: Spike Lee Gambit:;h3;h5;g4;;;;;;;;;;;;;;;;
A00;Kádas Opening:;h4;;;;;;;;;;;;;;;;;;
